index,question,choices,correct_answer,image_path,predicted_answer,is_correct,rationale,hypothesis,alternative_hypotheses,support,contrastive,entail_prob,alt_entail_probs,contrastiveness_score,informative,vf_questions,vf_answers,visual_fidelity,commonsense_plausibility
0,What is in the motorcyclist's mouth?,"['toothpick', 'food', 'popsicle stick', 'cigarette']",cigarette,images/0.jpg,cigarette,1,"The object in the motorcyclist's mouth appears to be a cigarette. This conclusion is drawn from the shape and size of the object, which is consistent with a cigarette.",The motorcyclist has a cigarette in his mouth.,"['The motorcyclist has a toothpick in his mouth.', 'The motorcyclist has food in their mouth.', 'The motorcyclist has a popsicle stick in their mouth.']",False,False,0.0001608719176147,"[6.409825437003747e-05, 0.0006356094381771982, 4.3611366891127545e-06]",0.1859918360886455,1,"[""Is there an object in the motorcyclist's mouth?"", ""Does the object in the motorcyclist's mouth have a shape consistent with a cigarette?"", ""Is the size of the object in the motorcyclist's mouth consistent with a cigarette?""]","['yes', 'yes', 'yes']",1.0,0.8867866396903992
1,Which number birthday is probably being celebrated?,"['one', 'ten', 'nine', 'thirty']",thirty,images/1.jpg,thirty,1,"The number birthday being celebrated is probably thirty. This is indicated by the small purple cake next to the larger bear-shaped cake, which has the number ""30"" written on it.",The number birthday probably being celebrated is thirty.,"['The number birthday probably being celebrated is one.', 'The number birthday probably being celebrated is ten.', 'The number birthday that is probably being celebrated is nine.']",True,True,0.9961456060409546,"[0.000806639960501343, 0.0015738793881610036, 0.010476429015398026]",0.9872577643060162,1,"['Is there a small purple cake next to a larger bear-shaped cake?', 'Does the small purple cake have the number ""30"" written on it?']","['yes', 'yes']",1.0,0.26007741689682
2,What best describes the pool of water?,"['frozen', 'fresh', 'dirty', 'boiling']",dirty,images/2.jpg,fresh,0,"The pool of water in the image appears to be fresh. The water is clear enough to reflect the giraffes and the tree, indicating that it is not dirty or boiling. There are no signs of ice or frost, so it is not frozen. Therefore, the best description is fresh.",The pool of water is best described as fresh.,"['The pool of water is best described as frozen.', 'The pool of water is best described as dirty.', 'The pool of water is best described as boiling.']",False,True,0.45713672041893,"[0.0002617008285596967, 2.5788508537516464e-06, 8.454232010990381e-05]",0.9992375234467972,1,"['Is the water in the pool clear enough to reflect the giraffes and the tree?', 'Are there no signs of ice or frost on the pool of water?']","['yes', 'no']",0.5,0.4515717029571533
3,What is the white substance on top of the cupcakes?,"['butter', 'mayo', 'ice cream', 'icing']",icing,images/3.jpg,icing,1,"The white substance on top of the cupcakes is icing. This is evident from its smooth, creamy texture and the way it is piped onto the cupcakes, which is typical for icing used in decorating baked goods.",The white substance on top of the cupcakes is icing.,"['The white substance on top of the cupcakes is butter.', 'The white substance on top of the cupcakes is mayo.', 'The white substance on top of the cupcakes is ice cream.']",True,True,0.948917269706726,"[0.058938849717378616, 5.974640589556657e-05, 2.4374385247938335e-06]",0.9414624842405702,1,"['Is the white substance on top of the cupcakes smooth and creamy in texture?', 'Is the white substance piped onto the cupcakes?']","['yes', 'yes']",1.0,0.8857800364494324
4,What type of device is sitting next to the laptop?,"['mouse', 'mobile phone', 'pen', 'keyboard']",mobile phone,images/4.jpg,mobile phone,1,"The device sitting next to the laptop is a mobile phone. This can be identified by its shape, size, and the presence of a screen and buttons typical of mobile phones, especially older models with a flip design. The branding on the device also suggests it is a mobile phone.",The device sitting next to the laptop is a mobile phone.,"['The device sitting next to the laptop is a mouse.', 'The device sitting next to the laptop is a pen.', 'The device sitting next to the laptop is a keyboard.']",True,True,0.8524448275566101,"[1.8690302283630444e-07, 3.433805417785152e-08, 4.7387732138304273e-07]",0.9999991845597402,1,"['Is there a device next to the laptop that has a screen and buttons?', 'Does the device next to the laptop have a shape and size typical of a mobile phone?', 'Is there branding on the device next to the laptop that suggests it is a mobile phone?']","['yes', 'yes', 'yes']",1.0,0.586592972278595
5,The thing on the animal to the left's head is similar to what is on the head of what else?,"['devil', 'zombie', 'vampire', 'witch']",devil,images/5.jpg,devil,1,"The animal on the left has horns on its head, which are often depicted in popular culture as being similar to the horns on the head of a devil. Therefore, the answer is devil.",The thing on the animal to the left's head is similar to what is on the head of a devil.,"[""The thing on the animal to the left's head is similar to what is on the head of a zombie."", ""The thing on the animal to the left's head is similar to what is on the head of a vampire."", ""The thing on the animal to the left's head is similar to what is on the head of a witch.""]",True,False,0.9031234383583068,"[0.4042722284793854, 0.77390056848526, 0.8226169943809509]",0.3110022121598976,1,['Does the animal on the left have horns on its head?'],['yes'],1.0,0.4802140593528747
6,What is the appliance the woman is holding used for?,"['cutting hair', 'brushing teeth', 'drying hair', 'painting nails']",drying hair,images/6.jpg,drying hair,1,"Yes, the appliance the woman is holding is a hair dryer, which is used for drying hair.",The appliance the woman is holding is used for drying hair.,"['The appliance the woman is holding is used for cutting hair.', 'The appliance the woman is holding is used for brushing teeth.', 'The appliance the woman is holding is used for painting nails.']",True,True,0.9989857077598572,"[5.467414666782133e-06, 3.198791205250018e-07, 0.0007713509839959443]",0.9992226773770768,1,['Is the woman holding a hair dryer?'],['yes'],1.0,0.6533650159835815
7,What is the descriptive word for this surface?,"['barren', 'crowded', 'minimalist', 'empty']",crowded,images/7.jpg,crowded,1,"The surface in the image is crowded. There are multiple items visible, including a computer monitor, a laptop, a phone, and a cat. This indicates that the surface is filled with various objects, making ""crowded"" the most appropriate descriptive word.",The descriptive word for this surface is crowded.,"['The descriptive word for this surface is barren.', 'The descriptive word for this surface is minimalist.', 'The descriptive word for this surface is empty.']",True,True,0.8845389485359192,"[1.1992786994596827e-06, 1.7672330159257399e-06, 6.533117016260803e-07]",0.999995907688848,1,"['Are there multiple items visible on the surface?', 'Is there a computer monitor on the surface?', 'Is there a laptop on the surface?', 'Is there a phone on the surface?', 'Is there a cat on the surface?']","['yes', 'yes', 'yes', 'yes', 'yes']",1.0,0.803329586982727
8,What is the person on the left doing with their body?,"['crouching', 'leaping', 'flying', 'twirling']",crouching,images/8.jpg,crouching,1,The person on the left is crouching on their surfboard while riding a wave. This position helps maintain balance and control while navigating the wave.,The person on the left is crouching with their body.,"['The person on the left is leaping with their body.', 'The person on the left is flying with their body.', 'The person on the left is twirling with their body.']",False,True,0.2432827055454254,"[0.008056136779487133, 0.011309891939163208, 0.01574667915701866]",0.873874689801163,1,"['Is the person on the left crouching on their surfboard?', 'Is the person on the left riding a wave?']","['yes', 'yes']",1.0,0.5408150553703308
9,What type of pants is the man on the right wearing?,"['linen', 'corduroy', 'silk', 'denim']",denim,images/9.jpg,denim,1,"The man on the right is wearing denim pants. Denim is a sturdy cotton twill fabric, typically blue, used for jeans and other clothing. The texture and appearance of the pants in the image match the characteristics of denim.",The man on the right is wearing denim pants.,"['The man on the right is wearing linen pants.', 'The man on the right is wearing corduroy pants.', 'The man on the right is wearing silk pants.']",True,True,0.9960430860519408,"[9.745310762809822e-07, 0.001991652650758624, 2.2680630991089856e-06]",0.998001183038804,1,"['Are the pants the man on the right is wearing made of denim fabric?', 'Do the pants on the man on the right have the typical blue color associated with denim?']","['yes', 'yes']",1.0,0.8641865849494934
