index,question,choices,correct_answer,image_path,predicted_answer,is_correct,rationale,informative,vf_questions,vf_answers,visual_fidelity,commonsense_plausibility,generated_choices,hypothesis,alternative_hypotheses,support,entail_prob,contrastive,alt_entail_probs,contrastiveness_score
0,What is in the motorcyclist's mouth?,"['toothpick', 'food', 'popsicle stick', 'cigarette']",cigarette,images/0.jpg,cigarette,1,"The object in the motorcyclist's mouth appears to be a cigarette. This conclusion is drawn from the shape and size of the object, which is consistent with a cigarette.",1,"[""Is there an object in the motorcyclist's mouth?"", ""Does the object in the motorcyclist's mouth have a shape consistent with a cigarette?"", ""Is the size of the object in the motorcyclist's mouth consistent with a cigarette?""]","['yes', 'yes', 'yes']",1.0,0.8867866396903992,"['toothpick', 'chewing gum', 'piece of straw']",The motorcyclist has a cigarette in his mouth.,"['The motorcyclist has a toothpick in his mouth.', 'The motorcyclist has chewing gum in their mouth.', 'The motorcyclist has a piece of straw in his mouth.']",False,0.00016256936942227185,False,"[6.44277170067653e-05, 2.3352225980488583e-05, 8.224455086747184e-05]",0.4887924504093376
1,Which number birthday is probably being celebrated?,"['one', 'ten', 'nine', 'thirty']",thirty,images/1.jpg,thirty,1,"The number birthday being celebrated is probably thirty. This is indicated by the small purple cake next to the larger bear-shaped cake, which has the number ""30"" written on it.",1,"['Is there a small purple cake next to a larger bear-shaped cake?', 'Does the small purple cake have the number ""30"" written on it?']","['yes', 'yes']",1.0,0.26007741689682,"['twenty', 'forty', 'fifty']",The number birthday probably being celebrated is thirty.,"['The birthday probably being celebrated is the twentieth.', 'The number birthday probably being celebrated is forty.', 'The number birthday probably being celebrated is fifty.']",True,0.9961305856704712,True,"[0.01722417026758194, 0.09025324136018753, 0.0032460959628224373]",0.8999655796868643
2,What best describes the pool of water?,"['frozen', 'fresh', 'dirty', 'boiling']",dirty,images/2.jpg,fresh,0,"The pool of water in the image appears to be fresh. The water is clear enough to reflect the giraffes and the tree, indicating that it is not dirty or boiling. There are no signs of ice or frost, so it is not frozen. Therefore, the best description is fresh.",1,"['Is the water in the pool clear enough to reflect the giraffes and the tree?', 'Are there no signs of ice or frost on the pool of water?']","['yes', 'no']",0.5,0.4515717029571533,"['clear', 'shallow', 'reflective']",The pool of water is best described as fresh.,"['The pool of water is best described as clear.', 'The pool of water is best described as shallow.', 'The pool of water is best described as reflective.']",True,0.7384804487228394,False,"[0.9536434412002563, 0.049016863107681274, 0.9531006813049316]",0.27409586955035414
3,What is the white substance on top of the cupcakes?,"['butter', 'mayo', 'ice cream', 'icing']",icing,images/3.jpg,icing,1,"The white substance on top of the cupcakes is icing. This is evident from its smooth, creamy texture and the way it is piped onto the cupcakes, which is typical for icing used in decorating baked goods.",1,"['Is the white substance on top of the cupcakes smooth and creamy in texture?', 'Is the white substance piped onto the cupcakes?']","['yes', 'yes']",1.0,0.8857800364494324,"['whipped cream', 'powdered sugar', 'marshmallow fluff']",The white substance on top of the cupcakes is icing.,"['The white substance on top of the cupcakes is whipped cream.', 'The white substance on top of the cupcakes is powdered sugar.', 'The white substance on top of the cupcakes is marshmallow fluff.']",True,0.9492005109786987,False,"[0.25608712434768677, 0.08006927371025085, 0.760650634765625]",0.4639281579650105
4,What type of device is sitting next to the laptop?,"['mouse', 'mobile phone', 'pen', 'keyboard']",mobile phone,images/4.jpg,mobile phone,1,"The device sitting next to the laptop is a mobile phone. This can be identified by its shape, size, and the presence of a screen and buttons typical of mobile phones, especially older models with a flip design. The branding on the device also suggests it is a mobile phone.",1,"['Is there a device next to the laptop that has a screen and buttons?', 'Does the device next to the laptop have a shape and size typical of a mobile phone?', 'Is there branding on the device next to the laptop that suggests it is a mobile phone?']","['yes', 'yes', 'yes']",1.0,0.586592972278595,"['tablet', 'wireless mouse', 'external hard drive']",The device sitting next to the laptop is a mobile phone.,"['The device sitting next to the laptop is a tablet.', 'The device sitting next to the laptop is a wireless mouse.', 'The device sitting next to the laptop is an external hard drive.']",True,0.8521990180015564,True,"[4.826637223231955e-07, 2.702215624594828e-07, 2.692235341328342e-07]",0.9999988006233621
5,The thing on the animal to the left's head is similar to what is on the head of what else?,"['devil', 'zombie', 'vampire', 'witch']",devil,images/5.jpg,devil,1,"The animal on the left has horns on its head, which are often depicted in popular culture as being similar to the horns on the head of a devil. Therefore, the answer is devil.",1,['Does the animal on the left have horns on its head?'],['yes'],1.0,0.4802140593528747,"[""'dragon'"", ""'unicorn'"", ""'bull'""]",The thing on the animal to the left's head is similar to what is on the head of a devil.,"[""The thing on the animal to the left's head is similar to what is on the head of a dragon."", ""The thing on the animal to the left's head is similar to what is on the head of a unicorn."", ""The thing on the animal to the left's head is similar to what is on the head of a bull.""]",True,0.9031234383583069,False,"[0.37983837723731995, 0.9352874159812927, 0.3440025746822357]",0.352472554083922
6,What is the appliance the woman is holding used for?,"['cutting hair', 'brushing teeth', 'drying hair', 'painting nails']",drying hair,images/6.jpg,drying hair,1,"Yes, the appliance the woman is holding is a hair dryer, which is used for drying hair.",1,['Is the woman holding a hair dryer?'],['yes'],1.0,0.6533650159835815,"['brushing teeth', 'curling hair', 'straightening clothes']",The appliance the woman is holding is used for drying hair.,"['The appliance the woman is holding is used for brushing teeth.', 'The appliance the woman is holding is used for curling hair.', 'The appliance the woman is holding is used for straightening clothes.']",True,0.9989836812019348,True,"[3.205827852070797e-07, 0.0383940190076828, 0.16105616092681885]",0.8335740889573394
7,What is the descriptive word for this surface?,"['barren', 'crowded', 'minimalist', 'empty']",crowded,images/7.jpg,crowded,1,"The surface in the image is crowded. There are multiple items visible, including a computer monitor, a laptop, a phone, and a cat. This indicates that the surface is filled with various objects, making ""crowded"" the most appropriate descriptive word.",1,"['Are there multiple items visible on the surface?', 'Is there a computer monitor on the surface?', 'Is there a laptop on the surface?', 'Is there a phone on the surface?', 'Is there a cat on the surface?']","['yes', 'yes', 'yes', 'yes', 'yes']",1.0,0.803329586982727,"['clean', 'smooth', 'empty']",The descriptive word for this surface is crowded.,"['The descriptive word for this surface is clean.', 'The descriptive word for this surface is smooth.', 'The descriptive word for this surface is empty.']",True,0.8846386671066284,True,"[7.845885647839168e-07, 2.9023121896898374e-06, 6.475948453044111e-07]",0.999995100288374
8,What is the person on the left doing with their body?,"['crouching', 'leaping', 'flying', 'twirling']",crouching,images/8.jpg,crouching,1,The person on the left is crouching on their surfboard while riding a wave. This position helps maintain balance and control while navigating the wave.,1,"['Is the person on the left crouching on their surfboard?', 'Is the person on the left riding a wave?']","['yes', 'yes']",1.0,0.5408150553703308,"['sitting', 'bending over', 'stretching']",The person on the left is crouching with their body.,"['The person on the left is sitting with their body.', 'The person on the left is bending over with their body.', 'The person on the left is stretching their body.']",False,0.24346253275871277,False,"[0.18082883954048157, 0.4196479022502899, 0.006168994586914778]",0.2863900300676283
9,What type of pants is the man on the right wearing?,"['linen', 'corduroy', 'silk', 'denim']",denim,images/9.jpg,denim,1,"The man on the right is wearing denim pants. Denim is a sturdy cotton twill fabric, typically blue, used for jeans and other clothing. The texture and appearance of the pants in the image match the characteristics of denim.",1,"['Are the pants the man on the right is wearing made of denim fabric?', 'Do the pants on the man on the right have the typical blue color associated with denim?']","['yes', 'yes']",1.0,0.8641865849494934,"['cargo pants', 'khaki pants', 'sweatpants']",The man on the right is wearing denim pants.,"['The man on the right is wearing cargo pants.', 'The man on the right is wearing khaki pants.', 'The man on the right is wearing sweatpants.']",True,0.9960391521453857,True,"[0.05541279539465904, 3.5312314139446244e-05, 3.081395334447734e-05]",0.9472392124832865
