index,question,choices,correct_answer,image_path,predicted_answer,is_correct,rationale,informative,vf_questions,vf_answers,visual_fidelity,commonsense_plausibility,generated_choices,hypothesis,alternative_hypotheses,support,entail_prob,contrastive,alt_entail_probs,contrastiveness_score
0,What is in the motorcyclist's mouth?,"['toothpick', 'food', 'popsicle stick', 'cigarette']",cigarette,images/0.jpg,cigarette,1,The motorcyclist has a cigarette in his mouth. This is evident from the fact that he is smoking a cigarette while riding the motorcycle.,1,"['Is the motorcyclist holding a cigarette in his mouth?', 'Is the motorcyclist smoking while riding the motorcycle?']","['yes', 'no']",0.5,0.3457492291927337,"['gum', 'toothpick', 'lollipop']",The motorcyclist has a cigarette in his mouth.,"['The motorcyclist has gum in his mouth.', 'The motorcyclist has a toothpick in his mouth.', 'The motorcyclist has a lollipop in their mouth.']",False,0.07765744626522064,True,"[7.009157343418337e-06, 2.681580554053653e-06, 1.1876240932906512e-06]",0.9998599382432546
1,Which number birthday is probably being celebrated?,"['one', 'ten', 'nine', 'thirty']",thirty,images/1.jpg,thirty,1,"The reasoning behind my answer is that the birthday cake has the number ""30"" on it. This indicates that the person celebrating their birthday is turning 30 years old.",1,"['Does the birthday cake have the number ""30"" on it?']",['yes'],1.0,0.4750734269618988,"['twenty', 'forty', 'fifty']",The number birthday probably being celebrated is thirty.,"['The birthday probably being celebrated is the twentieth.', 'The number birthday probably being celebrated is forty.', 'The number birthday probably being celebrated is fifty.']",True,0.9997997879981995,True,"[0.0011143824085593224, 0.0004226452438160777, 5.498750397237018e-07]",0.9984644760294069
2,What best describes the pool of water?,"['frozen', 'fresh', 'dirty', 'boiling']",dirty,images/2.jpg,fresh,0,"The pool of water is described as fresh, which means it is clean and unpolluted. It is not frozen or boiling, and it is not described as dirty. This suggests that the water in the pool is of good quality and suitable for the giraffes to drink from. The fact that the giraffes are drinking from the pool indicates that the water is fresh and safe for them to consume.",1,['Are the giraffes drinking from the pool of water?'],['no'],0.0,0.4065911173820495,"['clear', 'shallow', 'reflective']",The pool of water is best described as fresh.,"['The pool of water is best described as clear.', 'The pool of water is best described as shallow.', 'The pool of water is best described as reflective.']",True,0.9576753973960876,True,"[0.8577085137367249, 0.004363204352557659, 0.003017901908606291]",0.5253970688801592
3,What is the white substance on top of the cupcakes?,"['butter', 'mayo', 'ice cream', 'icing']",icing,images/3.jpg,icing,1,"The white substance on top of the cupcakes is icing. This can be inferred from the fact that icing is commonly used as a topping for cupcakes to enhance their flavor and appearance. In the image, there are three cupcakes with icing on top, which indicates that they have been decorated with icing as part of their presentation. Additionally, icing is a common ingredient in cupcake recipes, so it is reasonable to assume that the white substance on top of the cupcakes is indeed icing.",1,"['Are there three cupcakes in the image?', 'Is there a white substance on top of the cupcakes?', 'Does the white substance appear to be used as a topping for the cupcakes?']","['yes', 'yes', 'yes']",1.0,0.473065584897995,"['whipped cream', 'powdered sugar', 'marshmallow fluff']",The white substance on top of the cupcakes is icing.,"['The white substance on top of the cupcakes is whipped cream.', 'The white substance on top of the cupcakes is powdered sugar.', 'The white substance on top of the cupcakes is marshmallow fluff.']",False,0.3916385769844055,False,"[0.0018573541892692447, 0.04358917102217674, 0.47219666838645935]",0.4307120077130736
4,What type of device is sitting next to the laptop?,"['mouse', 'mobile phone', 'pen', 'keyboard']",mobile phone,images/4.jpg,mobile phone,1,"The device sitting next to the laptop is a mobile phone. The reasoning behind this answer is that mobile phones are commonly used in conjunction with laptops for various purposes, such as making calls, sending text messages, and accessing the internet. In the image, the mobile phone is placed next to the laptop, which suggests that it might be used for one or more of these purposes. On the other hand, a mouse, pen, or keyboard would not typically be placed next to a laptop in this manner.",1,['Is there a mobile phone placed next to the laptop in the image?'],['yes'],1.0,0.4754618704319,"['tablet', 'external hard drive', 'wireless mouse']",The device sitting next to the laptop is a mobile phone.,"['The device sitting next to the laptop is a tablet.', 'The device sitting next to the laptop is an external hard drive.', 'The device sitting next to the laptop is a wireless mouse.']",True,0.8858291506767273,True,"[7.218420705612516e-06, 3.6563446883519646e-06, 8.898325177142397e-06]",0.9999776789359442
5,The thing on the animal to the left's head is similar to what is on the head of what else?,"['devil', 'zombie', 'vampire', 'witch']",devil,images/5.jpg,witch,0,"The horns on the animal to the left's head are similar to the horns on the head of the witch in the image. Both the horns on the animal and the horns on the witch are large and pointy, giving them a similar appearance.",1,"[""Are there horns on the animal to the left's head?"", ""Are the horns on the animal to the left's head large and pointy?"", 'Are there horns on the head of the witch in the image?', ""Are the horns on the witch's head large and pointy?""]","['yes', 'yes', 'yes', 'no']",0.75,0.5964401364326477,"[""'angel'"", ""'unicorn'"", ""'dragon'""]",The thing on the animal to the left's head is similar to what is on the head of a witch.,"[""The thing on the animal to the left's head is similar to what is on the head of an angel."", ""The thing on the animal to the left's head is similar to what is on the head of a unicorn."", ""The thing on the animal to the left's head is similar to what is on the head of a dragon.""]",True,0.801314651966095,False,"[0.26798251271247864, 0.7711548805236816, 0.3869951069355011]",0.35974575252977214
6,What is the appliance the woman is holding used for?,"['cutting hair', 'brushing teeth', 'drying hair', 'painting nails']",drying hair,images/6.jpg,drying hair,1,"The appliance the woman is holding is a blow dryer, which is used for drying hair. The reasoning behind this answer is that the image shows the woman holding a blow dryer in a bathroom, which is a common place for people to dry their hair after taking a shower. Additionally, blow dryers are specifically designed for drying hair and are not used for cutting hair, brushing teeth, or painting nails.",1,"['Is the woman holding a blow dryer in the image?', 'Is the woman in a bathroom in the image?']","['yes', 'yes']",1.0,0.4911437630653381,"['brushing teeth', 'cooking food', 'ironing clothes']",The appliance the woman is holding is used for drying hair.,"['The appliance the woman is holding is used for brushing teeth.', 'The appliance the woman is holding is used for cooking food.', 'The appliance the woman is holding is used for ironing clothes.']",True,0.9999263286590576,True,"[1.1532137250469532e-05, 4.0923154642769077e-07, 2.9504647613975976e-07]",0.9999877628329376
7,What is the descriptive word for this surface?,"['barren', 'crowded', 'minimalist', 'empty']",crowded,images/7.jpg,empty,0,"The surface in the image is described as empty. This implies that there are no other objects or items on the surface, making it a minimalist and uncluttered space. The presence of a black cat sitting in front of a computer screen further emphasizes the emptiness of the surface, as the cat is the only object occupying the space.",1,"['Is the surface in the image free of any objects or items other than the black cat?', 'Is there a black cat sitting in front of a computer screen on the surface?']","['no', 'yes']",0.5,0.566103458404541,"['clean', 'smooth', 'empty']",The descriptive word for this surface is empty.,"['The descriptive word for this surface is clean.', 'The descriptive word for this surface is smooth.']",True,0.9584211707115173,True,"[0.7237977981567383, 0.20212803781032562]",0.5086224391338968
8,What is the person on the left doing with their body?,"['crouching', 'leaping', 'flying', 'twirling']",crouching,images/8.jpg,leaping,0,"The person on the left is leaping into the air while riding a wave on a surfboard. This action demonstrates their skill and control over the surfboard, as they are able to launch themselves into the air and maintain balance during the jump. Leaping is a common maneuver in surfing, as it allows the surfer to perform aerial tricks or simply enjoy the thrill of being airborne above the water.",1,"['Is the person on the left leaping into the air?', 'Is the person on the left riding a wave on a surfboard?']","['no', 'yes']",0.5,0.4814593493938446,"['sitting', 'bending over', 'kneeling']",The person on the left is leaping with their body.,"['The person on the left is sitting with their body.', 'The person on the left is bending over with their body.', 'The person on the left is kneeling with their body.']",True,0.8387458324432373,True,"[1.2755551324517e-05, 0.004825029522180557, 1.0370215022703633e-05]",0.9942529755320288
9,What type of pants is the man on the right wearing?,"['linen', 'corduroy', 'silk', 'denim']",denim,images/9.jpg,denim,1,The man on the right is wearing denim pants.,0,['Is the man on the right wearing pants made of denim?'],['yes'],1.0,0.5209575295448303,"['cargo pants', 'khakis', 'sweatpants']",The man on the right is wearing denim pants.,"['The man on the right is wearing cargo pants.', 'The man on the right is wearing khakis.', 'The man on the right is wearing sweatpants.']",False,0.04054073989391327,False,"[0.06548521667718887, 0.24113182723522186, 0.3199707269668579]",0.060769011126398674
