Dataset,AOKVQA,AOKVQA,AOKVQA,AOKVQA,VizWiz,VizWiz,VizWiz,VizWiz,MMMU-Pro,MMMU-Pro,MMMU-Pro,MMMU-Pro,Overall
Model,llava-v1.5-7b,qwen2.5-vl-7b-instruct,gpt-4o-2024-05-13,Avg,llava-v1.5-7b,qwen2.5-vl-7b-instruct,gpt-4o-2024-05-13,Avg,llava-v1.5-7b,qwen2.5-vl-7b-instruct,gpt-4o-2024-05-13,Avg,Avg
Metric,,,,,,,,,,,,,
Simulatability,0.106**,0.247***,0.098,0.150,0.088*,0.158**,-0.130*,0.039,0.059,0.195***,0.079**,0.111,0.100
Informativeness,-0.018,0.000,0.069,0.017,0.093*,-0.007,-0.113,-0.009,-0.008,0.006,0.011,0.003,0.004
Plausibility,0.043**,0.022,0.028,0.031,0.004,-0.020,-0.002,-0.006,0.006,0.012,0.004,0.007,0.011
Visual Fidelity,0.181***,0.080***,0.085***,0.115,0.240***,0.042*,0.024,0.102,0.169**,0.038,0.090***,0.099,0.106
Contrastiveness,0.243***,0.283***,0.248***,0.258,0.041,0.054,-0.097,-0.001,0.047,0.154***,0.101***,0.101,0.119
"Avg(VF, Contr.)",0.212***,0.181***,0.166***,0.187,0.141***,0.048,-0.037,0.051,0.108**,0.096***,0.096***,0.100,0.112
"Prod(VF, Contr.)",0.320***,0.315***,0.266***,0.301,0.168***,0.082,-0.082,0.056,0.090**,0.146***,0.143***,0.126,0.161
"Min(VF, Contr.)",0.295***,0.298***,0.255***,0.283,0.165***,0.077,-0.084,0.053,0.082**,0.127***,0.124***,0.111,0.149
