index,question,choices,correct_answer,image_path,predicted_answer,is_correct,rationale,hypothesis,alternative_hypotheses,support,contrastive,entail_prob,alt_entail_probs,contrastiveness_score,informative,vf_questions,vf_answers,visual_fidelity,commonsense_plausibility
0,What is in the motorcyclist's mouth?,"['toothpick', 'food', 'popsicle stick', 'cigarette']",cigarette,images/0.jpg,cigarette,1,The motorcyclist has a cigarette in his mouth. This is evident from the fact that he is smoking a cigarette while riding the motorcycle.,The motorcyclist has a cigarette in his mouth.,"['The motorcyclist has a toothpick in his mouth.', 'The motorcyclist has food in his mouth.', 'The motorcyclist has a popsicle stick in his mouth.']",False,True,0.0773781016469001,"[2.6763482310343534e-06, 4.270477074896917e-05, 6.694579042232363e-07]",0.9994052169050412,1,"['Is the motorcyclist holding a cigarette in his mouth?', 'Is the motorcyclist smoking while riding the motorcycle?']","['yes', 'no']",0.5,0.3457492291927337
1,Which number birthday is probably being celebrated?,"['one', 'ten', 'nine', 'thirty']",thirty,images/1.jpg,thirty,1,"The reasoning behind my answer is that the birthday cake has the number ""30"" on it. This indicates that the person celebrating their birthday is turning 30 years old.",The number birthday probably being celebrated is thirty.,"['The number birthday probably being celebrated is one.', 'The number birthday probably being celebrated is ten.', 'The number birthday that is probably being celebrated is nine.']",True,True,0.9997993111610411,"[0.0007279067649506032, 4.499573606153717e-06, 1.0845167253137333e-06]",0.9992668997420135,1,"['Does the birthday cake have the number ""30"" on it?']",['yes'],1.0,0.4750734269618988
2,What best describes the pool of water?,"['frozen', 'fresh', 'dirty', 'boiling']",dirty,images/2.jpg,fresh,0,"The pool of water is described as fresh, which means it is clean and unpolluted. It is not frozen or boiling, and it is not described as dirty. This suggests that the water in the pool is of good quality and suitable for the giraffes to drink from. The fact that the giraffes are drinking from the pool indicates that the water is fresh and safe for them to consume.",The pool of water is best described as fresh.,"['The pool of water is best described as frozen.', 'The pool of water is best described as dirty.', 'The pool of water is best described as boiling.']",True,True,0.9285385012626648,"[3.6850217384198913e-06, 6.640502814292404e-09, 3.489464290851174e-07]",0.9999956484399064,1,['Are the giraffes drinking from the pool of water?'],['no'],0.0,0.4065911173820495
3,What is the white substance on top of the cupcakes?,"['butter', 'mayo', 'ice cream', 'icing']",icing,images/3.jpg,icing,1,"The white substance on top of the cupcakes is icing. This can be inferred from the fact that icing is commonly used as a topping for cupcakes to enhance their flavor and appearance. In the image, there are three cupcakes with icing on top, which indicates that they have been decorated with icing as part of their presentation. Additionally, icing is a common ingredient in cupcake recipes, so it is reasonable to assume that the white substance on top of the cupcakes is indeed icing.",The white substance on top of the cupcakes is icing.,"['The white substance on top of the cupcakes is butter.', 'The white substance on top of the cupcakes is mayo.', 'The white substance on top of the cupcakes is ice cream.']",False,True,0.3911733329296112,"[0.0015204022638499737, 2.915931327152066e-05, 4.558313321467722e-06]",0.9960427520936382,1,"['Are there three cupcakes in the image?', 'Is there a white substance on top of the cupcakes?', 'Does the white substance appear to be used as a topping for the cupcakes?']","['yes', 'yes', 'yes']",1.0,0.473065584897995
4,What type of device is sitting next to the laptop?,"['mouse', 'mobile phone', 'pen', 'keyboard']",mobile phone,images/4.jpg,mobile phone,1,"The device sitting next to the laptop is a mobile phone. The reasoning behind this answer is that mobile phones are commonly used in conjunction with laptops for various purposes, such as making calls, sending text messages, and accessing the internet. In the image, the mobile phone is placed next to the laptop, which suggests that it might be used for one or more of these purposes. On the other hand, a mouse, pen, or keyboard would not typically be placed next to a laptop in this manner.",The device sitting next to the laptop is a mobile phone.,"['The device sitting next to the laptop is a mouse.', 'The device sitting next to the laptop is a pen.', 'The device sitting next to the laptop is a keyboard.']",True,True,0.9986383318901062,"[1.810909338928468e-06, 4.097910277778283e-06, 1.4181271581037436e-05]",0.99997988292017,1,['Is there a mobile phone placed next to the laptop in the image?'],['yes'],1.0,0.4754618704319
5,The thing on the animal to the left's head is similar to what is on the head of what else?,"['devil', 'zombie', 'vampire', 'witch']",devil,images/5.jpg,witch,0,"The horns on the animal to the left's head are similar to the horns on the head of the witch in the image. Both the horns on the animal and the horns on the witch are large and pointy, giving them a similar appearance.",The thing on the animal to the left's head is similar to what is on the head of a witch.,"[""The thing on the animal to the left's head is similar to what is on the head of a devil."", ""The thing on the animal to the left's head is similar to what is on the head of a zombie."", ""The thing on the animal to the left's head is similar to what is on the head of a vampire.""]",True,False,0.8016253709793091,"[0.8246738314628601, 0.6071974039077759, 0.5109845995903015]",0.2920863036861919,1,"[""Are there horns on the animal to the left's head?"", ""Are the horns on the animal to the left's head large and pointy?"", 'Are there horns on the head of the witch in the image?', ""Are the horns on the witch's head large and pointy?""]","['yes', 'yes', 'yes', 'no']",0.75,0.5964401364326477
6,What is the appliance the woman is holding used for?,"['cutting hair', 'brushing teeth', 'drying hair', 'painting nails']",drying hair,images/6.jpg,drying hair,1,"The appliance the woman is holding is a blow dryer, which is used for drying hair. The reasoning behind this answer is that the image shows the woman holding a blow dryer in a bathroom, which is a common place for people to dry their hair after taking a shower. Additionally, blow dryers are specifically designed for drying hair and are not used for cutting hair, brushing teeth, or painting nails.",The appliance the woman is holding is used for drying hair.,"['The appliance the woman is holding is used for cutting hair.', 'The appliance the woman is holding is used for brushing teeth.', 'The appliance the woman is holding is used for painting nails.']",True,True,0.9999520778656006,"[1.0295610763932928e-06, 2.038390903180698e-06, 2.9855900720576756e-06]",0.9999939462044845,1,"['Is the woman holding a blow dryer in the image?', 'Is the woman in a bathroom in the image?']","['yes', 'yes']",1.0,0.4911437630653381
7,What is the descriptive word for this surface?,"['barren', 'crowded', 'minimalist', 'empty']",crowded,images/7.jpg,empty,0,"The surface in the image is described as empty. This implies that there are no other objects or items on the surface, making it a minimalist and uncluttered space. The presence of a black cat sitting in front of a computer screen further emphasizes the emptiness of the surface, as the cat is the only object occupying the space.",The descriptive word for this surface is empty.,"['The descriptive word for this surface is barren.', 'The descriptive word for this surface is crowded.', 'The descriptive word for this surface is minimalist.']",True,False,0.9640686511993408,"[0.530236542224884, 3.6410160220157195e-08, 0.9600251913070679]",0.3928031217373635,1,"['Is the surface in the image free of any objects or items other than the black cat?', 'Is there a black cat sitting in front of a computer screen on the surface?']","['no', 'yes']",0.5,0.566103458404541
8,What is the person on the left doing with their body?,"['crouching', 'leaping', 'flying', 'twirling']",crouching,images/8.jpg,leaping,0,"The person on the left is leaping into the air while riding a wave on a surfboard. This action demonstrates their skill and control over the surfboard, as they are able to launch themselves into the air and maintain balance during the jump. Leaping is a common maneuver in surfing, as it allows the surfer to perform aerial tricks or simply enjoy the thrill of being airborne above the water.",The person on the left is leaping with their body.,"['The person on the left is crouching with their body.', 'The person on the left is flying with their body.', 'The person on the left is twirling with their body.']",True,True,0.8382167816162109,"[0.004548369441181421, 0.5506073832511902, 0.01510982308536768]",0.5951205403574417,1,"['Is the person on the left leaping into the air?', 'Is the person on the left riding a wave on a surfboard?']","['no', 'yes']",0.5,0.4814593493938446
9,What type of pants is the man on the right wearing?,"['linen', 'corduroy', 'silk', 'denim']",denim,images/9.jpg,denim,1,The man on the right is wearing denim pants.,The man on the right is wearing denim pants.,"['The man on the right is wearing linen pants.', 'The man on the right is wearing corduroy pants.', 'The man on the right is wearing silk pants.']",False,False,0.0405787415802478,"[0.04057874158024788, 0.0626743733882904, 0.014090734533965588]",0.256953367482329,0,['Is the man on the right wearing pants made of denim?'],['yes'],1.0,0.5209575295448303
