question_id,image_path,question,choices,correct_answer,predicted_answer,raw_confidence,is_correct
0,images/0.jpg,What is in the motorcyclist's mouth?,"['toothpick', 'food', 'popsicle stick', 'cigarette']",cigarette,Cigarette,0.9969733953475952,1
1,images/1.jpg,Which number birthday is probably being celebrated?,"['one', 'ten', 'nine', 'thirty']",thirty,Thirty,0.5067222714424133,1
2,images/2.jpg,What best describes the pool of water?,"['frozen', 'fresh', 'dirty', 'boiling']",dirty,Dirty,0.5280871391296387,1
3,images/3.jpg,What is the white substance on top of the cupcakes?,"['butter', 'mayo', 'ice cream', 'icing']",icing,Icing,0.8642184138298035,1
4,images/4.jpg,What type of device is sitting next to the laptop?,"['mouse', 'mobile phone', 'pen', 'keyboard']",mobile phone,Mobile phone,0.406382292509079,1
5,images/5.jpg,The thing on the animal to the left's head is similar to what is on the head of what else?,"['devil', 'zombie', 'vampire', 'witch']",devil,Witch,0.1799785196781158,0
6,images/6.jpg,What is the appliance the woman is holding used for?,"['cutting hair', 'brushing teeth', 'drying hair', 'painting nails']",drying hair,Drying hair,0.9546144008636476,1
7,images/7.jpg,What is the descriptive word for this surface?,"['barren', 'crowded', 'minimalist', 'empty']",crowded,Empty,0.3525953888893127,0
8,images/8.jpg,What is the person on the left doing with their body?,"['crouching', 'leaping', 'flying', 'twirling']",crouching,Crouching,0.5606303215026855,1
9,images/9.jpg,What type of pants is the man on the right wearing?,"['linen', 'corduroy', 'silk', 'denim']",denim,Denim,0.9370303750038148,1
10,images/10.jpg,What country do these planes belong to?,"['united states', 'germany', 'canada', 'mexico']",united states,United states,0.6652287840843201,1
11,images/11.jpg,What interests the child most here?,"['table', 'fork', 'candle', 'floor']",candle,Candle,0.7831489443778992,1
12,images/12.jpg,What kind of fruit is cut in half and darker than the other?,"['grapes', 'apples', 'lettuce', 'radish']",grapes,Grapes,0.2904233634471893,1
13,images/13.jpg,What item on the desk could help with a cold?,"['cough drops', 'syringe', 'pills', 'herbal tea']",cough drops,Cough drops,0.9712613821029664,1
14,images/14.jpg,What flag is represented on the wall?,"['english', 'moravian', 'american', 'french']",american,American,0.991354525089264,1
15,images/15.jpg,What is located on the shelves?,"['books', 'dvds', 'games', 'food']",books,Books,0.9619012475013732,1
16,images/16.jpg,What period of the day does this photo reflect?,"['noon', 'morning', 'dawn', 'afternoon']",afternoon,Noon,0.434081882238388,0
17,images/17.jpg,What activity does the cat appear most likely to do?,"['drink', 'jump', 'eat', 'sleep']",jump,Eat,0.6952409148216248,0
18,images/18.jpg,What event is this most likely?,"['environmental cleanup', 'concert', 'date', 'firing']",date,Date,0.8469231128692627,1
19,images/19.jpg,What is the outside of the cake made of?,"['frosting', 'custard', 'fondant', 'whipped cream']",fondant,Frosting,0.8038502335548401,0
20,images/20.jpg,Why is the person wearing a white jacket?,"['nurse', 'doctor', 'cold', 'chef']",chef,Chef,0.9783387184143066,1
21,images/21.jpg,What is the dog trying to catch?,"['person', 'frisbee', 'kite', 'ball']",frisbee,Frisbee,0.9003337025642395,1
22,images/22.jpg,Which animal usually occupies the position the cat is in right now?,"['human', 'dinosaur', 'eagle', 'fish']",human,Human,0.955546259880066,1
23,images/23.jpg,What kind of resort are these people at?,"['swim resort', 'safari', 'ski resort', 'tropical resort']",ski resort,Ski resort,0.9898770451545716,1
24,images/24.jpg,What type of transportation is this?,"['air', 'water', 'road', 'road']",air,Air,0.9686242938041688,1
25,images/25.jpg,The cat is looking in what direction?,"['left', 'right', 'down', 'up']",down,Right,0.3550246655941009,0
26,images/26.jpg,What are the orange vehicles for?,"['police', 'shuttle', 'passengers', 'air traffic']",air traffic,Police,0.3017100393772125,0
27,images/27.jpg,The company producing the device in her hand is from what country?,"['usa', 'china', 'japan', 'spain']",japan,Japan,0.7175994515419006,1
28,images/28.jpg,Which is not an ingredient of this dish?,"['flatbread', 'prosciutto', 'arugula', 'pepperoni']",pepperoni,Pepperoni,0.7069118022918701,1
29,images/29.jpg,What is closest to the tree trunk?,"['closed doors', 'walking person', 'sitting person', 'open doors']",closed doors,Closed doors,0.3413200676441192,1
