question_id,image_path,question,choices,correct_answer,predicted_answer,raw_confidence,is_correct
0,images/0_img1.jpg,Which of the following best explains the overall trend shown in the <image 1>?,"['Political instability leading to population decline', 'The spread of pathogens across the Silk Road', 'Development of new trade routes', 'Climate change affecting the Silk Road', 'Migrations to areas of Central Asia for resettlement', 'Technological advancements in transportation', 'Invasions by Mongol tribes', 'Large-scale famine due to crop failures', 'Economic prosperity and population growth', 'Rise of religious conflicts along the Silk Road']",The spread of pathogens across the Silk Road,Economic prosperity and population growth,0.7071912884712219,0
1,images/1_img1.jpg,"<image 1> of Louis Black, believed to be a formerly enslaved man, was painted by which artist?","['James Irvine', 'John Duncan', 'Gavin Hamilton', 'David Gauld', 'Arthur Melville', 'Francis Cadell', 'Mary Cameron', 'John Lavery', 'Samuel Peploe', 'William York Macgregor']",James Irvine,Arthur melville,0.3601014614105224,0
2,images/2_img1.jpg,<image 1> is a symbol of...,"['A memory', 'A transition', 'An opportunity', 'A common experience', 'A journey', 'A warning', 'A clock', 'Time waits for no man', 'An obstacle', 'A mystery']",Time waits for no man,Clock,0.4020125865936279,0
3,images/3_img1.jpg,The conflict addressed in the <image 1> is best understood in the context of which of the following?,"['The imperial interests of the United States', 'The environmental conservation movement', 'The rise of digital technology', 'A stagnation in global trade', 'The advancement of space exploration', 'The burgeoning human rights movement', 'The explosion in global population', 'The decline in religious influence', 'The shift towards renewable energy', 'A dramatic increase in migration']",A dramatic increase in migration,The imperial interests of the United States,0.4994900524616241,0
4,images/4_img1.jpg,"Refer to the figure <image 1>, which term refers to the materials and technical means used by artists to create pictures?","['Artistic elements', 'Artistic tools', 'Artistic techniques', 'Artistic styles', 'Functions of illustrations', 'Artistic principles', 'Artistic materials', 'Visual media', 'Artistic media', 'Visual elements']",Artistic media,Artistic elements,0.974297046661377,0
5,images/5_img1.jpg,<image 1> Which nutrient seems to be absent given the signs of deficiency in this brassica seedling?,"['Zinc', 'Potassium', 'Magnesium', 'Molybdenum', 'Calcium', 'Sulfur', ""Don't know and don't want to guess"", 'Iron', 'Nitrogen', 'Phosphate']",Phosphate,Iron,0.1918104141950607,0
6,images/6_img1.jpg,"For each of the following $1,000-parvalue bonds, assuming annual interest payment and a 40% tax rate, calculate the after-tax cost to maturity using the approximation formula. <image 1>","['A: 5.76%; B: 6.30%; C: 8.55%; D: 5.58%; E: 8.10%', 'A: 4.76%; B: 7.30%; C: 6.45%; D: 5.58%; E: 7.20%', 'A: 6.66%; B: 7.20%; C: 8.55%; D: 6.58%; E: 8.20%', 'A: 5.56%; B: 6.10%; C: 7.45%; D: 6.48%; E: 7.10%', 'A: 6.66%; B: 7.20%; C: 6.55%; D: 6.48%; E: 8.10%', 'A: 4.66%; B: 6.20%; C: 4.55%; D: 5.48%; E: 7.10%', 'A: 4.66%; B: 8.20%; C: 4.55%; D: 9.48%; E: 10.10%', 'A: 5.66%; B: 8.20%; C: 7.55%; D: 9.48%; E: 10.10%', 'A: 5.66%; B: 6.20%; C: 7.55%; D: 5.48%; E: 7.10%', 'A: 4.56%; B: 6.10%; C: 7.45%; D: 5.38%; E: 6.10%']",A: 5.66%; B: 6.20%; C: 7.55%; D: 5.48%; E: 7.10%,A,0.2665806412696838,0
7,images/7_img1.jpg,"In general, children in ______ households benefit from <image 1>.","['Nuclear family', 'Stepfamily', 'Low-conflict', 'Co-parenting', 'Multigenerational', 'Adoptive', 'Foster', 'High-conflict', 'Extended family', 'Single-parent']",High-conflict,Nuclear family,0.2585503458976745,0
8,images/8_img1.jpg,"Prices of zero-coupon bonds reveal the following pattern of forward rates: <image 1> In addition to the zero-coupon bond, investors also may purchase a 3-year bond making annual payments of $60 with par value $1,000. Under the expectations hypothesis, what is the expected realized compound yield of the coupon bond?","['6.91%', '7.15%', '6.56%', '6.98%', '7.02%', '6.45%', '6.66%', '6.79%', '6.85%']",6.66%,6.91%,0.7409547567367554,0
9,images/9_img1.jpg,"Gate AB in Fig. P2.51 is 1.2 m long and 0.8 m into the paper. Neglecting atmospheric-pressure effects, compute the force F on the gate. <image 1>","['17940 N', '38750 N', '25150 N', '34560 N', '22530 N', '42075 N', '16540 N', '29800 N', '20100 N']",38750 N,17940 N,0.2777423858642578,0
10,images/10_img1.jpg,The following diagram shows the bacteriorhodopsin protein.This protein have quaternary structure.<image 1>,"['False', 'True']",False,True,0.7203421592712402,0
11,images/11_img1.jpg,"A dam is to be constructed across a valley to form a reservoir, and the areas in the following table enclosed by contour loops were obtained from a plan of the area involved.If the 660 m level represents the level floor of the reservoir, use the prismoidal formula to calculate the volume of water impounded when the water level reaches 700 m.<image 1>","['29.193 * 106 $m^{3}$', '28.893 * 106 $m^{3}$', '28.493 * 106 $m^{3}$', '29.293 * 106 $m^{3}$', '30.393 * 106 $m^{3}$', '30.093 * 106 $m^{3}$', '29.493 * 106 $m^{3}$', '29.893 * 106 $m^{3}$', '29.793 * 106 $m^{3}$', '29.693 * 106 $m^{3}$']",29.693 * 106 $m^{3}$,29.193 * 106 $m^{3}$,0.6520742774009705,0
12,images/12_img1.jpg,The patient shown below most likely has which of the following? <image 1> ,"['Gout', 'Osteomalacia', 'Marfan Syndrome', 'Renal osteodystrophy', 'Bone cancer', 'Osteoporosis', 'Rheumatoid arthritis', 'Sickle cell disease', 'Ankylosing spondylitis', ""Paget's disease""]",Renal osteodystrophy,Osteoporosis,0.5197107195854187,0
13,images/13_img1.jpg,Which statement represents stratification from the perspective of <image 1>?,"['Teachers continue to struggle to keep benefits such as good retirement plans.', 'Wealthy individuals often have better access to educational opportunities.', 'An office worker might feel out of place in a blue-collar pub.', 'Doctors earn more money because their job is more highly valued.', 'Men often earn more than women, even working the same job.', 'Fast food employees are not respected as much as gourmet chefs.', 'Lawyers typically choose to live in upscale neighborhoods.', ""Factory workers often don't have access to the same healthcare benefits as corporate executives."", 'After work, Pat, a janitor, feels more comfortable eating in a truck stop than a French restaurant.', 'Professional athletes often earn more than teachers and nurses.']","After work, Pat, a janitor, feels more comfortable eating in a truck stop than a French restaurant.",Teachers continue to struggle to keep benefits such as good retirement plans.,0.1935299038887024,0
14,images/14_img1.jpg,"The following readings were taken by a tacheometer from station B on stations A, C and D in clockwise direction:<image 1>The line BA has a bearing of 58°46' and the instrument constants are 100 and 0.Find the slope of the line CD and its bearing.","['Slope 1 in 7.64 rising, W.C.B. 7°16\'26.7""', 'Slope 1 in 8.54 rising, W.C.B. 7°16\'26.7""', 'Slope 1 in 8.04 rising, W.C.B. 7°16\'26.7""', 'Slope 1 in 7.24 rising, W.C.B. 7°16\'26.7""', 'Slope 1 in 7.94 rising, W.C.B. 7°16\'26.7""', 'Slope 1 in 9.54 rising, W.C.B. 7°16\'26.7""', 'Slope 1 in 7.54 rising, W.C.B. 7°16\'26.7""', 'Slope 1 in 7.84 rising, W.C.B. 7°16\'26.7""', 'Slope 1 in 6.54 rising, W.C.B. 7°16\'26.7""', 'Slope 1 in 7.34 rising, W.C.B. 7°16\'26.7""']","Slope 1 in 7.54 rising, W.C.B. 7°16'26.7""","Slope 1 in 7.24 rising, W.C.B. 7",0.8148971199989319,0
15,images/15_img1.jpg,"In March 2009, an outbreak of Influenza A (H1N1) occurred somewhere in Mexico and spread rapidly around the world. The first confirmed case of Influenza A (H1N1) was detected in Fujian Province on 23 May 2009. Until 13 July, a total of 122 cases were reported in the province, all of which were imported cases or local cases related to imported cases, and there were no local cases with an unknown source of infection. The following table showed the regional distribution of the 122 confirmed cases of Influenza A (H1N1) in Fujian Province in 2009. <image 1> The secondary attack rate of H1N1 influenza in Fuzhou was","['0.90%', '1.80%', '4.50%', '2.70%', '1.50%', '2.20%', '3.18%', '2.95%', '1.20%', '0.00%']",3.18%,0.90%,0.2941630184650421,0
