index,question_id,question,correct_answers,majority_answer,category,image_path,predicted_answer,is_correct,rationale,hypothesis,support,entail_prob,informative,vf_questions,vf_answers,visual_fidelity,commonsense_plausibility,generated_choices,alternative_hypotheses,contrastive,alt_entail_probs,Unnamed: 22,contrastiveness_score
0,VizWiz_val_00000003,Which one is the blue one?,"['right', 'omni sorb', '1 on right', 'on right', 'right 1']",right,other,images/3.jpg,blue,0.0,The blue box has a white label with black writing and a blue top.,The blue one is the blue.,False,0.412530154,1,"['Does the blue box have a white label?', 'Is there black writing on the white label of the blue box?', 'Does the blue box have a blue top?']","['no', 'yes', 'yes']",0.666666667,0.473838329,"['left', 'middle', 'omni absorb']","['The blue one is the left.', 'The middle one is the blue one.', 'The blue one is omni absorb.']",False,"[0.41584742069244385, 0.47731050848960876, 0.08108211308717728]",,0.2974754974615208
1,VizWiz_val_00000015,"Which one of these items is the children's dictionary? Is it the one on the right, or the one on the left?","['left', 'right']",left,other,images/15.jpg,children's dictionary,0.0,The children's dictionary is the item on the left.,The children's dictionary is the one on the right.,False,0.316580534,1,"[""Is the children's dictionary the item on the left?""]",['no'],0.0,0.387919545,"['middle', 'top shelf', 'bottom row']","[""The children's dictionary is the one in the middle."", ""The children's dictionary is on the top shelf."", ""The children's dictionary is on the bottom row.""]",False,"[0.5063472986221313, 0.014213357120752335, 0.12064586579799652]",,0.33053331862082963
2,VizWiz_val_00000048,What store is this?,"['original pancake house', 'pancake house']",original pancake house,other,images/48.jpg,the original pancake house,1.0,"The Original Pancake House is a restaurant that serves breakfast foods, such as pancakes and waffles. It is located in Portland, Oregon.",This store is the original pancake house.,False,0.059646945,1,"['Is the restaurant in the image serving breakfast foods like pancakes and waffles?', 'Is the restaurant located in Portland, Oregon?']","['yes', 'no']",0.5,0.459709406,"['IHOP', ""Denny's"", 'Waffle House']","['This store is IHOP.', ""This store is Denny's."", 'This store is Waffle House.']",False,"[0.7592254281044006, 0.6141626238822937, 0.08269734680652618]",,0.03935189827164971
3,VizWiz_val_00000054,What's the name of the drink?,"['irnbru', 'irn bru', 'irnbru barr', 'barr irn bru sugar free', 'irn barr bru', 'irn barr bru sugar free']",irn bru,other,images/54.jpg,iron bru,0.0,Iron Bru,The name of the drink is iron bru.,False,0.304041654,0,['Please provide a rationale with more explicit details about the image.'],['yes'],1.0,0.467181683,"['coca cola', 'fanta', 'pepsi']","['The name of the drink is coca cola.', 'The name of the drink is fanta.', 'The name of the drink is pepsi.']",False,"[0.5355842709541321, 0.2443629950284958, 0.19620943069458008]",,0.23749573949940336
4,VizWiz_val_00000057,What is on the pillowcase?,"['texas logo', 'sports team logo', 'texas', 'texas longhorns', 'texas longhorn']",texas,other,images/57.jpg,texas,1.0,"The pillowcase has a Texas logo on it, which indicates that the bed belongs to someone who supports or is from the state of Texas.",There is texas on the pillowcase.,True,0.654011369,1,['Is there a Texas logo on the pillowcase?'],['yes'],1.0,0.510841131,"['cowboy hat', 'university logo', 'animal print']","['The pillowcase has a cowboy hat on it.', 'The pillowcase has a university logo on it.', 'The pillowcase has an animal print.']",True,"[0.01047389954328537, 0.026835687458515167, 1.8547590343587217e-06]",,0.9460289156092335
5,VizWiz_val_00000064,What is the person doing?,"['looking at computer screen', 'watching computer screen', 'working on computer', 'looking at computer', 'sitting', 'sitting at computer', 'looking at screen', 'computing', 'sitting at desktop computer on desk']",looking at computer,other,images/64.jpg,sitting,1.0,"The man in the image is sitting at a desk with a computer monitor, keyboard and mouse on it. He appears to be working or using the computer for some purpose.",The person is sitting.,True,0.808029294,1,"['Is the man sitting at a desk?', 'Is there a computer monitor on the desk?', 'Is there a keyboard on the desk?', 'Is there a mouse on the desk?']","['yes', 'yes', 'yes', 'yes']",1.0,0.613948643,"['typing on keyboard', 'reading a book', 'drinking coffee']","['The person is typing on keyboard.', 'The person is reading a book.', 'The person is drinking coffee.']",True,"[0.6684474945068359, 1.2268199043319328e-06, 0.0015742629766464233]",,0.5466851923042353
6,VizWiz_val_00000069,Can you tell me what this bottle says?,"['warm vanilla sugar', 'sugar', 'warm vanilla sugar body lotion', 'warm vanila sugar']",warm vanilla sugar,other,images/69.jpg,warm vanilla sugar,1.0,"The label on the bottle reads ""Warm Vanilla Sugar.""",The bottle says warm vanilla sugar.,False,0.000136051,0,"['Does the label on the bottle read ""Warm Vanilla Sugar""?']",['yes'],1.0,0.407909095,"['vanilla bean', 'sweet vanilla', 'vanilla extract']","['The bottle says vanilla bean.', 'The bottle says sweet vanilla.', 'The bottle says vanilla extract.']",False,"[0.0009155064471997321, 0.0010722598526626825, 0.0012303582625463605]",,0.04056168124434609
7,VizWiz_val_00000084,IS there a picture on this tv screen?,"['yes', 'windows icon']",yes,yes/no,images/84.jpg,no,0.0,No,There is no picture on this TV screen.,True,0.938575983,0,"[""I'm sorry, but there are no details provided in the rationale to generate questions from.""]",['yes'],1.0,0.678411901,"['no', 'blank screen', 'black screen']","['The TV screen shows a blank screen.', 'There is a black screen on this TV.']",False,"[0.5428633093833923, 0.4799911677837372]",,0.47851606368957167
8,VizWiz_val_00000090,Is the dialogue more visible in that picture?,"['bored', 'yes', 'no']",no,yes/no,images/90.jpg,no,1.0,No,The dialogue is not more visible in that picture.,True,0.863045692,0,"[""I'm sorry, but there are no explicit details mentioned in the rationale to generate verifiable questions about the image.""]",['yes'],1.0,0.678411901,"['blurry', 'unreadable', 'unclear']","['The dialogue is more visible in that picture blurry.', 'The dialogue is unreadable in that picture.', 'The dialogue is unclear in that picture.']",False,"[0.10181248933076859, 0.9711427688598633, 0.8941442370414734]",,0.3049474973558027
9,VizWiz_val_00000113,What are the letters I need to enter in?,['kej'],kej,other,images/113.jpg,kj,0.0,"The letters you need to enter are ""kj"".",The letters I need to enter in are kj.,False,0.014158729,0,"['Are the letters ""kj"" visible in the image?']",['yes'],1.0,0.462420732,"['keg', 'kel', 'key']","['The letters you need to enter in are keg.', 'The letters you need to enter in are kel.', 'The letters you need to enter in are key.']",False,"[0.003966570366173983, 0.039825133979320526, 0.729134202003479]",,0.017988826568469826
