index,question,choices,correct_answer,image_path
0,What is in the motorcyclist's mouth?,"['toothpick', 'food', 'popsicle stick', 'cigarette']",cigarette,images/0.jpg
1,Which number birthday is probably being celebrated?,"['one', 'ten', 'nine', 'thirty']",thirty,images/1.jpg
2,What best describes the pool of water?,"['frozen', 'fresh', 'dirty', 'boiling']",dirty,images/2.jpg
3,What is the white substance on top of the cupcakes?,"['butter', 'mayo', 'ice cream', 'icing']",icing,images/3.jpg
4,What type of device is sitting next to the laptop?,"['mouse', 'mobile phone', 'pen', 'keyboard']",mobile phone,images/4.jpg
5,The thing on the animal to the left's head is similar to what is on the head of what else?,"['devil', 'zombie', 'vampire', 'witch']",devil,images/5.jpg
6,What is the appliance the woman is holding used for?,"['cutting hair', 'brushing teeth', 'drying hair', 'painting nails']",drying hair,images/6.jpg
7,What is the descriptive word for this surface?,"['barren', 'crowded', 'minimalist', 'empty']",crowded,images/7.jpg
8,What is the person on the left doing with their body?,"['crouching', 'leaping', 'flying', 'twirling']",crouching,images/8.jpg
9,What type of pants is the man on the right wearing?,"['linen', 'corduroy', 'silk', 'denim']",denim,images/9.jpg
10,What country do these planes belong to?,"['united states', 'germany', 'canada', 'mexico']",united states,images/10.jpg
11,What interests the child most here?,"['table', 'fork', 'candle', 'floor']",candle,images/11.jpg
12,What kind of fruit is cut in half and darker than the other?,"['grapes', 'apples', 'lettuce', 'radish']",grapes,images/12.jpg
13,What item on the desk could help with a cold?,"['cough drops', 'syringe', 'pills', 'herbal tea']",cough drops,images/13.jpg
14,What flag is represented on the wall?,"['english', 'moravian', 'american', 'french']",american,images/14.jpg
15,What is located on the shelves?,"['books', 'dvds', 'games', 'food']",books,images/15.jpg
16,What period of the day does this photo reflect?,"['noon', 'morning', 'dawn', 'afternoon']",afternoon,images/16.jpg
17,What activity does the cat appear most likely to do?,"['drink', 'jump', 'eat', 'sleep']",jump,images/17.jpg
18,What event is this most likely?,"['environmental cleanup', 'concert', 'date', 'firing']",date,images/18.jpg
19,What is the outside of the cake made of?,"['frosting', 'custard', 'fondant', 'whipped cream']",fondant,images/19.jpg
20,Why is the person wearing a white jacket?,"['nurse', 'doctor', 'cold', 'chef']",chef,images/20.jpg
21,What is the dog trying to catch?,"['person', 'frisbee', 'kite', 'ball']",frisbee,images/21.jpg
22,Which animal usually occupies the position the cat is in right now?,"['human', 'dinosaur', 'eagle', 'fish']",human,images/22.jpg
23,What kind of resort are these people at?,"['swim resort', 'safari', 'ski resort', 'tropical resort']",ski resort,images/23.jpg
24,What type of transportation is this?,"['air', 'water', 'road', 'road']",air,images/24.jpg
25,The cat is looking in what direction?,"['left', 'right', 'down', 'up']",down,images/25.jpg
26,What are the orange vehicles for?,"['police', 'shuttle', 'passengers', 'air traffic']",air traffic,images/26.jpg
27,The company producing the device in her hand is from what country?,"['usa', 'china', 'japan', 'spain']",japan,images/27.jpg
28,Which is not an ingredient of this dish?,"['flatbread', 'prosciutto', 'arugula', 'pepperoni']",pepperoni,images/28.jpg
29,What is closest to the tree trunk?,"['closed doors', 'walking person', 'sitting person', 'open doors']",closed doors,images/29.jpg
30,Where are we at?,"['fair', 'garage sale', 'street festival', 'flea market']",street festival,images/30.jpg
31,What is beside the person on the seat?,"['white bag', 'food', 'paper bag', 'pillow']",white bag,images/31.jpg
32,What does it say on the boys hat?,"['happy birthday', 'huggy buggy', 'herpy derpy', 'huggy harry']",happy birthday,images/32.jpg
33,What sport are they mimicking?,"['baseball', 'lacrosse', 'cricket', 'basketball']",baseball,images/33.jpg
34,The visible bottles most likely contain what kind of items?,"['body wash', 'shampoo conditioner', 'lotions', 'mouthwash']",shampoo conditioner,images/34.jpg
35,What sport game is the man playing?,"['wii boxing', 'wii baseball', 'wii football', 'wii tennis']",wii boxing,images/35.jpg
36,What is the batter most likely preparing to do here?,"['bunt', 'sit', 'dodge ball', 'slide']",bunt,images/36.jpg
37,What kind of venue is it?,"['garage', 'commercial kitchen', 'auto shop', 'domestic kitchen']",domestic kitchen,images/37.jpg
38,What kind of terrain is it?,"['beach', 'desert', 'savanna', 'valley']",savanna,images/38.jpg
39,What is the bin on the left made from?,"['plastic', 'ceramic', 'steel', 'glass']",steel,images/39.jpg
40,What type of animal is on a leash on the sidewalk?,"['dog', 'tiger', 'cat', 'lion']",dog,images/40.jpg
41,What room of the house is this man in?,"['sitting room', 'dinning room', 'bathroom', 'bedroom']",bathroom,images/41.jpg
