index,question_id,question,choices,correct_answer_letter,correct_answer,subject,topic_difficulty,img_type,image_path,num_images,predicted_answer,predicted_answer_letter,is_correct,rationale,hypothesis,alternative_hypotheses,informative,vf_questions,vf_answers,visual_fidelity,support,entail_prob,contrastive,alt_entail_probs,contrastiveness_score,commonsense_plausibility
0,test_History_1,Which of the following best explains the overall trend shown in the <image 1>?,"['Political instability leading to population decline', 'The spread of pathogens across the Silk Road', 'Development of new trade routes', 'Climate change affecting the Silk Road', 'Migrations to areas of Central Asia for resettlement', 'Technological advancements in transportation', 'Invasions by Mongol tribes', 'Large-scale famine due to crop failures', 'Economic prosperity and population growth', 'Rise of religious conflicts along the Silk Road']",B,The spread of pathogens across the Silk Road,History,Medium,['Diagrams'],images/0_img1.jpg,1,Development of new trade routes,C,0,Answer: C,The overall trend shown in the <image 1> is best explained by the development of new trade routes.,"['The overall trend shown in the <image 1> is best explained by political instability leading to population decline.', 'The overall trend shown in the <image 1> is best explained by the spread of pathogens across the Silk Road.', 'The overall trend shown in the <image 1> is best explained by climate change affecting the Silk Road.']",0,['Please provide a rationale with explicit details about the image for me to generate relevant questions.'],['yes'],1.0,False,0.4673317670822143,False,"[0.3858374059200287, 0.12247073650360107, 0.09556026756763458]",0.4362693146289107,0.4682749807834625
1,test_Art_113,"<image 1> of Louis Black, believed to be a formerly enslaved man, was painted by which artist?","['James Irvine', 'John Duncan', 'Gavin Hamilton', 'David Gauld', 'Arthur Melville', 'Francis Cadell', 'Mary Cameron', 'John Lavery', 'Samuel Peploe', 'William York Macgregor']",A,James Irvine,Art,Easy,['Paintings'],images/1_img1.jpg,1,William York Macgregor,J,0,Answer: J,"The image of Louis Black, believed to be a formerly enslaved man, was painted by William York Macgregor.","['The image of Louis Black, believed to be a formerly enslaved man, was painted by James Irvine.', 'The image of Louis Black, believed to be a formerly enslaved man, was painted by John Duncan.', 'The image of Louis Black, believed to be a formerly enslaved man, was painted by Gavin Hamilton.']",1,['Could you please provide the correct rationale so I can generate the appropriate questions?'],['no'],0.0,True,0.6279512047767639,False,"[0.8921873569488525, 0.7929456830024719, 0.5628975033760071]",0.2183432510274871,0.46706005930900574
2,validation_Design_19,<image 1> is a symbol of...,"['A memory', 'A transition', 'An opportunity', 'A common experience', 'A journey', 'A warning', 'A clock', 'Time waits for no man', 'An obstacle', 'A mystery']",H,Time waits for no man,Design,Hard,['Comics and Cartoons'],images/2_img1.jpg,1,A clock,G,0,A clock,<image 1> is a symbol of a clock.,"['<Image 1> is a symbol of a memory.', 'Image 1 is a symbol of a transition.', 'Image 1 is a symbol of an opportunity.']",0,"[""I'm sorry, but I can't generate questions based on the provided rationale as it doesn't contain any explicit details about the image.""]",['yes'],1.0,False,0.3304711878299713,False,"[0.2626526653766632, 0.6132366061210632, 0.5820159912109375]",0.184788380394093,0.48099276423454285
3,test_History_134,The conflict addressed in the <image 1> is best understood in the context of which of the following?,"['The imperial interests of the United States', 'The environmental conservation movement', 'The rise of digital technology', 'A stagnation in global trade', 'The advancement of space exploration', 'The burgeoning human rights movement', 'The explosion in global population', 'The decline in religious influence', 'The shift towards renewable energy', 'A dramatic increase in migration']",J,A dramatic increase in migration,History,Medium,['Sketches and Drafts'],images/3_img1.jpg,1,The environmental conservation movement,B,0,Answer: B,The conflict addressed in the <image 1> is best understood in the context of the environmental conservation movement.,"['The conflict addressed in the <image 1> is best understood in the context of the imperial interests of the United States.', 'The conflict addressed in the <image 1> is best understood in the context of the rise of digital technology.', 'The conflict addressed in the <image 1> is best understood in the context of a stagnation in global trade.']",0,['Please provide a rationale with specific visual details for me to create questions.'],['yes'],1.0,True,0.5893619060516357,False,"[0.6343168616294861, 0.5336405038833618, 0.2587003707885742]",0.2923393669735005,0.47454172372817993
4,test_Literature_65,"Refer to the figure <image 1>, which term refers to the materials and technical means used by artists to create pictures?","['Artistic elements', 'Artistic tools', 'Artistic techniques', 'Artistic styles', 'Functions of illustrations', 'Artistic principles', 'Artistic materials', 'Visual media', 'Artistic media', 'Visual elements']",I,Artistic media,Literature,Easy,['Photographs'],images/4_img1.jpg,1,Artistic tools,B,0,Artistic tools,The term that refers to the materials and technical means used by artists to create pictures is artistic tools.,"['The term that refers to the materials and technical means used by artists to create pictures is artistic elements.', 'The term that refers to the materials and technical means used by artists to create pictures is artistic techniques.', 'The term that refers to the materials and technical means used by artists to create pictures is artistic styles.']",0,"[""I'm sorry, but I can't generate questions based on the provided rationale as it does not contain any explicit details about the image.""]",['yes'],1.0,True,0.8293538093566895,False,"[0.5341265201568604, 0.9634031057357788, 0.07088852673768997]",0.3458851894612235,0.37351298332214355
5,test_Agriculture_195,<image 1> Which nutrient seems to be absent given the signs of deficiency in this brassica seedling?,"['Zinc', 'Potassium', 'Magnesium', 'Molybdenum', 'Calcium', 'Sulfur', ""Don't know and don't want to guess"", 'Iron', 'Nitrogen', 'Phosphate']",J,Phosphate,Agriculture,Easy,['Photographs'],images/5_img1.jpg,1,Iron,H,0,Iron,The nutrient that seems to be absent given the signs of deficiency in this brassica seedling is iron.,"['The signs of deficiency in this brassica seedling suggest that the nutrient absent is zinc.', 'The nutrient that seems to be absent given the signs of deficiency in this brassica seedling is potassium.', 'The nutrient that seems to be absent given the signs of deficiency in this brassica seedling is magnesium.']",0,['Could you provide more information from the rationale?'],['no'],0.0,False,0.3741044700145721,False,"[0.21683958172798157, 0.2891709506511688, 0.2503625154495239]",0.3309260592181418,0.45645830035209656
6,test_Finance_304,"For each of the following $1,000-parvalue bonds, assuming annual interest payment and a 40% tax rate, calculate the after-tax cost to maturity using the approximation formula. <image 1>","['A: 5.76%; B: 6.30%; C: 8.55%; D: 5.58%; E: 8.10%', 'A: 4.76%; B: 7.30%; C: 6.45%; D: 5.58%; E: 7.20%', 'A: 6.66%; B: 7.20%; C: 8.55%; D: 6.58%; E: 8.20%', 'A: 5.56%; B: 6.10%; C: 7.45%; D: 6.48%; E: 7.10%', 'A: 6.66%; B: 7.20%; C: 6.55%; D: 6.48%; E: 8.10%', 'A: 4.66%; B: 6.20%; C: 4.55%; D: 5.48%; E: 7.10%', 'A: 4.66%; B: 8.20%; C: 4.55%; D: 9.48%; E: 10.10%', 'A: 5.66%; B: 8.20%; C: 7.55%; D: 9.48%; E: 10.10%', 'A: 5.66%; B: 6.20%; C: 7.55%; D: 5.48%; E: 7.10%', 'A: 4.56%; B: 6.10%; C: 7.45%; D: 5.38%; E: 6.10%']",I,A: 5.66%; B: 6.20%; C: 7.55%; D: 5.48%; E: 7.10%,Finance,Easy,['Tables'],images/6_img1.jpg,1,A: 5.76%; B: 6.30%; C: 8.55%; D: 5.58%; E: 8.10%,A,0,A: 5.76%,"For each of the following $1,000-par value bonds, the after-tax cost to maturity using the approximation formula is A: 5.76%, B: 6.30%, C: 8.55%, D: 5.58%, and E: 8.10% assuming an annual interest payment and a 40% tax rate.","['For each of the following $1,000-par value bonds, the after-tax cost to maturity using the approximation formula is A: 4.76%, B: 7.30%, C: 6.45%, D: 5.58%, and E: 7.20%, assuming annual interest payment and a 40% tax rate.', 'For each of the following $1,000-par value bonds, the after-tax cost to maturity using the approximation formula is A: 6.66%, B: 7.20%, C: 8.55%, D: 6.58%, and E: 8.20%, assuming annual interest payment and a 40% tax rate.', 'For each of the following $1,000-par value bonds, the after-tax cost to maturity using the approximation formula is A: 5.56%, B: 6.10%, C: 7.45%, D: 6.48%, and E: 7.10%, assuming annual interest payment and a 40% tax rate.']",0,['Please provide a rationale with specific visual details for me to generate questions.'],['yes'],1.0,True,0.9359345436096193,False,"[0.6085940003395081, 0.1270015686750412, 0.5180585384368896]",0.4274476592468966,0.4543514847755432
7,test_Sociology_191,"In general, children in ______ households benefit from <image 1>.","['Nuclear family', 'Stepfamily', 'Low-conflict', 'Co-parenting', 'Multigenerational', 'Adoptive', 'Foster', 'High-conflict', 'Extended family', 'Single-parent']",H,High-conflict,Sociology,Hard,['Comics and Cartoons'],images/7_img1.jpg,1,Nuclear family,A,0,Nuclear family,"In general, children in nuclear family households benefit from <image 1>.","['In general, children in stepfamily households benefit from <image 1>.', 'In general, children in low-conflict households benefit from <image 1>.', 'In general, children in co-parenting households benefit from <image 1>.']",0,"[""I'm sorry, but I cannot generate questions based on the provided rationale as it does not contain any explicit visual details to verify.""]",['yes'],1.0,False,0.3715925812721252,False,"[0.4525359272956848, 0.4383043050765991, 0.4973145127296448]",0.2111624638963304,0.48553964495658875
8,test_Accounting_42,"Prices of zero-coupon bonds reveal the following pattern of forward rates: <image 1> In addition to the zero-coupon bond, investors also may purchase a 3-year bond making annual payments of $60 with par value $1,000. Under the expectations hypothesis, what is the expected realized compound yield of the coupon bond?","['6.91%', '7.15%', '6.56%', '6.98%', '7.02%', '6.45%', '6.66%', '6.79%', '6.85%']",G,6.66%,Accounting,Hard,['Tables'],images/8_img1.jpg,1,6.91%,A,0,Answer: 6.91,"Under the expectations hypothesis, the expected realized compound yield of the coupon bond making annual payments of $60 with a par value of $1,000 is 6.91%.","['Under the expectations hypothesis, the expected realized compound yield of the coupon bond making annual payments of $60 with a par value of $1,000 is 7.15%.', 'Under the expectations hypothesis, the expected realized compound yield of the coupon bond making annual payments of $60 with a par value of $1,000 is 6.56%.', 'Under the expectations hypothesis, the expected realized compound yield of the coupon bond making annual payments of $60 with a par value of $1,000 is 6.98%.']",0,['Please provide a rationale with specific visual details for me to create questions.'],['yes'],1.0,True,0.9960468411445618,False,"[0.7390459179878235, 0.498046875, 0.289572536945343]",0.394831742029072,0.46086305379867554
9,test_Energy_and_Power_152,"Gate AB in Fig. P2.51 is 1.2 m long and 0.8 m into the paper. Neglecting atmospheric-pressure effects, compute the force F on the gate. <image 1>","['17940 N', '38750 N', '25150 N', '34560 N', '22530 N', '42075 N', '16540 N', '29800 N', '20100 N']",B,38750 N,Energy_and_Power,Hard,['Diagrams'],images/9_img1.jpg,1,17940 N,A,0,Answer: 17940 N,"The force F on gate AB, which is 1.2 m long and 0.8 m into the paper, is 17940 N.","['The force F on gate AB, which is 1.2 m long and 0.8 m into the paper, is 38750 N.', 'The force F on gate AB, which is 1.2 m long and 0.8 m into the paper, is 25150 N.', 'The force F on gate AB, which is 1.2 m long and 0.8 m into the paper, is 34560 N.']",0,"[""I'm sorry, but I cannot generate questions based on the rationale provided as it does not contain any explicit details about the image.""]",['no'],0.0,True,0.5510905385017395,False,"[0.4634442627429962, 0.524151086807251, 0.5936092734336853]",0.2584494625583488,0.44283679127693176
