index,question_id,question,correct_answers,majority_answer,category,image_path,predicted_answer,is_correct,rationale,hypothesis,support,entail_prob,informative,vf_questions,vf_answers,visual_fidelity,commonsense_plausibility,generated_choices,alternative_hypotheses,contrastive,alt_entail_probs,Unnamed: 22,contrastiveness_score
0,VizWiz_val_00000003,Which one is the blue one?,"['right', 'omni sorb', '1 on right', 'on right', 'right 1']",right,other,images/3.jpg,the one on the right,1.0,The blue one is the one on the right.,The blue one is the one on the right.,True,0.550124049,0,['Is the object on the right blue?'],['yes'],1.0,0.419247359,"['left', 'middle', 'omni absorb']","['The blue one is the left.', 'The middle one is the blue one.', 'The blue one is omni absorb.']",False,"[0.3459886610507965, 0.5326682329177856, 0.43926623463630676]",,0.2944915179847545
1,VizWiz_val_00000015,"Which one of these items is the children's dictionary? Is it the one on the right, or the one on the left?","['left', 'right']",left,other,images/15.jpg,left,1.0,"The answer is incorrect. The children's dictionary is the item on the bottom, not the one on the left. The packaging clearly states ""Children's Dictionary"" on the bottom item.",The children's dictionary is the one on the left.,False,0.009499487,1,"['Does the packaging of the item on the bottom clearly state ""Children\'s Dictionary""?']",['yes'],1.0,0.824634135,"['middle', 'top shelf', 'bottom row']","[""The children's dictionary is the one in the middle."", ""The children's dictionary is on the top shelf."", ""The children's dictionary is the one on the bottom row.""]",False,"[0.0011604196624830365, 0.002924966858699918, 0.9107837677001953]",,0.010276730058094813
2,VizWiz_val_00000048,What store is this?,"['original pancake house', 'pancake house']",original pancake house,other,images/48.jpg,the original pancake house,1.0,"The store in the image is ""The Original Pancake House."" This can be identified by the text on the glass door which clearly states the name of the establishment.",This store is the Original Pancake House.,False,0.023689471,1,"['Does the glass door in the image have text that states ""The Original Pancake House""?']",['yes'],1.0,0.205493748,"['IHOP', ""Denny's"", 'Waffle House']","['This store is IHOP.', ""This store is Denny's."", 'This store is Waffle House.']",False,"[0.00969440396875143, 0.01770380511879921, 0.006873773876577616]",,0.4087107789715069
3,VizWiz_val_00000054,What's the name of the drink?,"['irnbru', 'irn bru', 'irnbru barr', 'barr irn bru sugar free', 'irn barr bru', 'irn barr bru sugar free']",irn bru,other,images/54.jpg,irn-bru,1.0,The name of the drink is Irn-Bru.,The name of the drink is irn-bru.,False,0.196209431,0,['Is the name of the drink visible on the label as Irn-Bru?'],['yes'],1.0,0.484343022,"['coca cola', 'fanta', 'pepsi']","['The name of the drink is coca cola.', 'The name of the drink is fanta.', 'The name of the drink is pepsi.']",False,"[0.07935290038585663, 0.13869494199752808, 0.03926875442266464]",,0.4326310266009894
4,VizWiz_val_00000057,What is on the pillowcase?,"['texas logo', 'sports team logo', 'texas', 'texas longhorns', 'texas longhorn']",texas,other,images/57.jpg,texas longhorns logo,1.0,The pillowcase features the Texas Longhorns logo.,The pillowcase has a Texas Longhorns logo on it.,False,0.370680898,0,['Does the pillowcase have the Texas Longhorns logo on it?'],['yes'],1.0,0.520159364,"['cowboy hat', 'university logo', 'animal print']","['The pillowcase has a cowboy hat on it.', 'The pillowcase has a university logo on it.', 'The pillowcase has an animal print.']",False,"[0.0002278218453284353, 0.3731902837753296, 0.023164456710219383]",,0.48312074947521444
5,VizWiz_val_00000064,What is the person doing?,"['looking at computer screen', 'watching computer screen', 'working on computer', 'looking at computer', 'sitting', 'sitting at computer', 'looking at screen', 'computing', 'sitting at desktop computer on desk']",looking at computer,other,images/64.jpg,working,0.5,"The person in the image is sitting at a desk in front of a computer, which suggests that they are engaged in some form of work or task. The presence of papers and other office supplies on the desk further supports the idea that the person is working.",The person is working.,True,0.999686837,1,"['Is the person sitting at a desk in front of a computer?', 'Are there papers on the desk?', 'Are there office supplies on the desk?']","['yes', 'yes', 'yes']",1.0,0.594991326,"['typing on keyboard', 'reading a book', 'drinking coffee']","['The person is typing on keyboard.', 'The person is reading a book.', 'The person is drinking coffee.']",True,"[0.36817848682403564, 1.090357500288519e-06, 0.002233274281024933]",,0.7296453283058442
6,VizWiz_val_00000069,Can you tell me what this bottle says?,"['warm vanilla sugar', 'sugar', 'warm vanilla sugar body lotion', 'warm vanila sugar']",warm vanilla sugar,other,images/69.jpg,warm vanilla sugar,1.0,"Yes, the bottle says ""warm vanilla sugar.""",The bottle says warm vanilla sugar.,False,0.001166662,0,"['Does the bottle have the words ""warm vanilla sugar"" on it?']",['yes'],1.0,0.436618596,"['vanilla bean', 'sweet vanilla', 'vanilla extract']","['The bottle says vanilla bean.', 'The bottle says sweet vanilla.', 'The bottle says vanilla extract.']",False,"[0.003340655006468296, 0.003386485856026411, 0.003277847310528159]",,0.10443058831337539
7,VizWiz_val_00000084,IS there a picture on this tv screen?,"['yes', 'windows icon']",yes,yes/no,images/84.jpg,yes,1.0,"Yes, there is a picture on the TV screen. The screen displays the Windows logo, indicating that the TV is being used as a monitor for a computer running a version of the Windows operating system.",There is a picture on this TV screen.,True,0.999118507,1,"['Is there a picture displayed on the TV screen?', 'Is the Windows logo visible on the TV screen?']","['no', 'yes']",0.5,0.413836747,"['no', 'blank screen', 'black screen']","['There is no picture on this TV screen.', 'The TV screen shows a blank screen.', 'There is a black screen on this TV.']",True,"[7.735570761724375e-07, 1.9618878468463663e-06, 1.6879532722668955e-06]",,0.9999955727187709
8,VizWiz_val_00000090,Is the dialogue more visible in that picture?,"['bored', 'yes', 'no']",no,yes/no,images/90.jpg,no,1.0,"The answer is no. The dialogue in the picture is not clearly visible due to the blurriness of the image. The text is difficult to read, making it hard to discern the details of the message.",The dialogue is not more visible in that picture.,True,0.983730316,1,"['Is the image blurry?', 'Is the text in the image difficult to read?']","['yes', 'yes']",1.0,0.41249755,"['blurry', 'unreadable', 'unclear']","['The dialogue is more visible in that picture blurry.', 'The dialogue is unreadable in that picture.', 'The dialogue is more visible in that picture is unclear.']",True,"[0.0004234711523167789, 0.88373863697052, 0.011403090320527554]",,0.5234569595039846
9,VizWiz_val_00000113,What are the letters I need to enter in?,['kej'],kej,other,images/113.jpg,kej,1.0,"The letters you need to enter are ""KEJ"".",The letters you need to enter in are kej.,False,0.021990219,0,"['Are the letters ""K"", ""E"", and ""J"" visible in the image?']",['yes'],1.0,0.475175351,"['keg', 'kel', 'key']","['The letters you need to enter in are keg.', 'The letters you need to enter in are kel.', 'The letters you need to enter in are key.']",False,"[0.003966570366173983, 0.039825133979320526, 0.729134202003479]",,0.027663571411821776
